2023-11-07T13:03:41.295530-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=50, sum[0...50]=1275, running on CPU=3, start=1699383821.241391, stop=1699383821.295073
2023-11-07T13:03:41.352460-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=51, sum[0...51]=1326, running on CPU=3, start=1699383821.295545, stop=1699383821.352078
2023-11-07T13:03:41.405967-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=52, sum[0...52]=1378, running on CPU=3, start=1699383821.352485, stop=1699383821.405587
2023-11-07T13:03:41.461615-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=53, sum[0...53]=1431, running on CPU=3, start=1699383821.406008, stop=1699383821.461074
2023-11-07T13:03:41.518384-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=54, sum[0...54]=1485, running on CPU=3, start=1699383821.461485, stop=1699383821.517997
2023-11-07T13:03:41.578202-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=55, sum[0...55]=1540, running on CPU=3, start=1699383821.518420, stop=1699383821.577830
2023-11-07T13:03:41.634686-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=56, sum[0...56]=1596, running on CPU=3, start=1699383821.578231, stop=1699383821.634230
2023-11-07T13:03:41.744188-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=57, sum[0...57]=1653, running on CPU=3, start=1699383821.634667, stop=1699383821.743626
2023-11-07T13:03:41.805198-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=58, sum[0...58]=1711, running on CPU=3, start=1699383821.744057, stop=1699383821.803924
2023-11-07T13:03:41.867322-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=59, sum[0...59]=1770, running on CPU=3, start=1699383821.804424, stop=1699383821.866868
2023-11-07T13:03:41.926642-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=60, sum[0...60]=1830, running on CPU=3, start=1699383821.867343, stop=1699383821.926230
2023-11-07T13:03:41.988003-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=61, sum[0...61]=1891, running on CPU=3, start=1699383821.926677, stop=1699383821.987588
2023-11-07T13:03:42.050910-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=62, sum[0...62]=1953, running on CPU=3, start=1699383821.988026, stop=1699383822.050314
2023-11-07T13:03:42.116359-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=63, sum[0...63]=2016, running on CPU=3, start=1699383822.050755, stop=1699383822.115958
